Vehicle_ID,Frame_ID,Local_X,Local_Y,v_Vel
580,2800,4.66655,-8.29771,5.4717
580,2801,4.66655,-8.29771,5.4717
580,2802,4.13696,-8.63105,5.6255
580,2803,4.13696,-8.63105,5.6255
580,2804,3.96098,-8.73231,5.59057
580,2805,3.78545,-8.82944,5.59776
580,2806,3.6105,-8.92285,5.59194
580,2807,3.43606,-9.01272,5.59366
580,2808,3.26215,-9.09951,5.59124
580,2809,3.08851,-9.18337,5.61293
580,2810,2.91333,-9.25951,5.95134
580,2811,2.73644,-9.32749,6.23918
580,2812,2.73644,-9.32749,6.23918
580,2813,2.55823,-9.38819,6.50147
580,2814,2.37906,-9.44205,6.74124
580,2815,2.19926,-9.48932,6.96007
580,2816,2.01916,-9.53023,7.15354
580,2817,1.83911,-9.56502,7.31738
580,2818,1.65969,-9.59404,7.44435
580,2819,1.65969,-9.59404,7.44435
580,2820,1.48576,-9.61735,7.52741
580,2821,1.48576,-9.61735,7.52741
580,2822,1.00135,-9.66187,7.55686
580,2823,0.851271,-9.67096,7.50052
580,2824,0.709426,-9.67794,7.43721
580,2825,0.583704,-9.6828,7.37453
580,2826,0.583704,-9.6828,7.37453
580,2827,0.471368,-9.68616,7.31058
580,2828,0.369909,-9.68845,7.24576
580,2829,0.279138,-9.68998,7.1804
580,2830,0.2,-9.691,7.11488
580,2831,0.2,-9.691,7.11488
580,2832,0.130845,-9.69176,7.04959
580,2833,0.0698302,-9.69251,6.9849
580,2834,0.0156769,-9.69348,6.92115
580,2835,-0.0305774,-9.69488,6.85782
580,2836,-0.0305774,-9.69488,6.85782
580,2837,-0.0706644,-9.69696,6.79506
580,2838,-0.106132,-9.6999,6.73382
580,2839,-0.136699,-9.70393,6.67513
580,2840,-0.136699,-9.70393,6.67513
580,2841,-0.136699,-9.70393,6.67513
580,2842,-0.163842,-9.70922,6.62008
580,2843,-0.202711,-9.72438,6.52598
580,2844,-0.217118,-9.7344,6.48984
580,2845,-0.217118,-9.7344,6.48984
580,2846,-0.230667,-9.74596,6.4632
580,2847,-0.243761,-9.75893,6.4476
580,2848,-0.25679,-9.77303,6.44313
580,2849,-0.26971,-9.78791,6.44936
580,2850,-0.26971,-9.78791,6.44936
580,2851,-0.280017,-9.80327,6.46589
580,2852,-0.289562,-9.8186,6.49227
580,2853,-0.299318,-9.83342,6.52797
580,2854,-0.309522,-9.84736,6.57244
580,2855,-0.320399,-9.86009,6.62507
580,2856,-0.320399,-9.86009,6.62507
580,2857,-0.331977,-9.8713,6.68521
580,2858,-0.344139,-9.88075,6.75223
580,2859,-0.35639,-9.88822,6.82513
580,2860,-0.35639,-9.88822,6.82513
580,2861,-0.3686,-9.89356,6.90081
580,2862,-0.39275,-9.89782,7.03784
580,2863,-0.404794,-9.89701,7.08926
580,2864,-0.404794,-9.89701,7.08926
580,2865,-0.415904,-9.89464,7.12299
